"State";"Leading_Candidate";"Total_Area";"Population";"Population_Density";"Median_Age";"Birth_Rate";"HDI";"Unemployment_Rate";"Health_Insurance_Coverage";"Median_Rent"
"Alabama";"Trump";52420;5024279;99,2;39,6;51;0,877;0,04;0,915;982
"Alaska";"Trump";665384;733391;1,3;36,5;52;0,931;0,048;0,896;1373
"Arizona";"Trump";113990;7151502;62,9;39,3;51;0,906;0,043;0,901;1608
"Arkansas";"Trump";53179;3011524;57,9;38,9;52;0,88;0,042;0,911;933
"California";"Harris";163695;39538223;253,7;38,2;48;0,935;0,055;0,936;1992
"Colorado";"Harris";104094;5773714;55,7;37,9;48;0,952;0,038;0,933;1771
"Connecticut";"Harris";5543;3605944;744,7;41,5;48;0,95;0,046;0,943;1463
"Delaware";"Harris";2489;989948;508;42;54;0,922;0,035;0,935;1358
"District of Columbia";"Harris";68;689545;11280;34,9;39;0,947;0,053;0,973;1904
"Florida";"Trump";65758;21538187;401,4;42,8;51;0,925;0,041;0,893;1719
"Georgia";"Trump";59425;10711908;185,6;37,9;52;0,905;0,044;0,886;1400
"Hawaii";"Harris";10932;1455271;226,6;41,4;63;0,947;0,035;0,968;1940
"Idaho";"Trump";83569;1839106;22,3;37,8;51;0,916;0,036;0,911;1256
"Illinois";"Harris";57914;12812508;230,8;39,5;48;0,932;0,047;0,938;1238
"Indiana";"Trump";36420;6785528;189,4;38,3;57;0,903;0,036;0,931;1044
"Iowa";"Trump";56273;3190369;57,1;39,1;56;0,923;0,028;0,95;949
"Kansas";"Trump";82278;2937880;35,9;37,9;55;0,921;0,033;0,916;1036
"Kentucky";"Trump";40408;4505836;114,1;39,2;54;0,879;0,041;0,946;929
"Louisiana";"Trump";52378;4657757;107,8;38,7;56;0,881;0,049;0,931;1020
"Maine";"Harris";35380;1362359;44,2;44,9;43;0,929;0,032;0,941;1189
"Maryland";"Harris";12406;6177224;636,1;39,8;53;0,942;0,04;0,937;1651
"Massachusetts";"Harris";10554;7029917;901,2;40,3;44;0,956;0,039;0,974;1757
"Michigan";"Trump";96714;10077331;178;40,5;48;0,913;0,045;0,955;1101
"Minnesota";"Harris";86936;5706494;71,7;39,1;56;0,951;0,03;0,958;1264
"Mississippi";"Trump";48432;2961279;63,1;39,3;56;0,858;0,048;0,897;898
"Missouri";"Trump";69707;6154913;89,5;39,3;55;0,904;0,034;0,925;1019
"Montana";"Trump";147040;1084225;7,4;40,6;54;0,924;0,027;0,916;1083
"Nebraska";"Trump";77348;1961504;25,5;37,4;54;0,931;0,027;0,939;1042
"Nevada";"Trump";110572;3104614;28,3;39,4;53;0,91;0,046;0,892;1622
"New Hampshire";"Harris";9349;1377529;153,8;43,4;45;0,956;0,026;0,953;1517
"New Jersey";"Harris";8723;9288994;1263;40,4;52;0,943;0,047;0,928;1667
"New Mexico";"Harris";121590;2117522;17,5;39,9;52;0,884;0,048;0,909;1084
"New York";"Harris";54555;20201249;428,7;40,2;49;0,937;0,05;0,952;1561
"North Carolina";"Trump";53819;10439388;214,7;39,4;51;0,908;0,04;0,908;1245
"North Dakota";"Trump";70698;779094;11,3;36,3;60;0,934;0,029;0,955;916
"Ohio";"Trump";44826;11799448;288,8;39,9;55;0,908;0,04;0,939;1014
"Oklahoma";"Trump";69899;3959353;57,7;37,1;54;0,892;0,046;0,886;1020
"Oregon";"Harris";98379;4237256;44,1;40,7;43;0,938;0,041;0,945;1481
"Pennsylvania";"Trump";46054;13002700;290,6;41,1;52;0,928;0,042;0,946;1197
"Rhode Island";"Harris";1545;1097379;1061,4;40,8;45;0,934;0,048;0,955;1365
"South Carolina";"Trump";32020;5118425;170,2;40,5;55;0,894;0,043;0,909;1170
"South Dakota";"Trump";77116;886667;11,7;38,5;63;0,929;0,026;0,917;921
"Tennessee";"Trump";42144;6910840;167,6;39,1;53;0,893;0,04;0,907;1214
"Texas";"Trump";268596;29145505;111,6;35,9;55;0,907;0,044;0,836;1413
"Utah";"Trump";84897;3271616;39,7;32,3;60;0,913;0,033;0,92;1551
"Vermont";"Harris";9616;643077;69,8;43,7;39;0,945;0,026;0,966;1202
"Virginia";"Harris";42775;8631393;218,6;39,3;53;0,939;0,037;0,936;1567
"Washington";"Harris";71298;7705281;115,9;38,6;53;0,952;0,045;0,937;1731
"West Virginia";"Trump";24230;1793716;74,6;42,8;48;0,87;0,045;0,941;850
"Wisconsin";"Trump";65496;5893718;108,8;40,5;48;0,929;0,028;0,951;1071
"Wyoming";"Trump";97813;576851;5,9;39,3;66;0,936;0,032;0,893;1000
